"","breeds","groups"
"184","Soft-Coated Wheaten Terrier","Terrier"
"185","Spanish Water Dog","Herding"
"186","Spinone Italiano","Sporting"
"187","Staffordshire Bull Terrier","Terrier"
"188","Standard Schnauzer","Working"
"189","Sussex Spaniel","Sporting"
"190","Swedish Vallhund","Herding"
"191","Tibetan Mastiff","Working"
"192","Tibetan Spaniel","Non-Sporting"
"193","Tibetan Terrier","Non-Sporting"
"194","Toy Fox Terrier","Toy"
"195","Treeing Walker Coonhound","Hound"
"196","Vizsla","Sporting"
"197","Weimaraner","Sporting"
"198","Welsh Springer Spaniel","Sporting"
"199","Welsh Terrier","Terrier"
"200","West Highland White Terrier","Terrier"
"201","Whippet","Hound"
"202","Wire Fox Terrier","Terrier"
"203","Wirehaired Pointing Griffon","Sporting"
"204","Wirehaired Vizsla","Sporting"
"205","Xoloitzcuintli","Non-Sporting"
"206","Yorkshire Terrier","Toy"
